Epoch,Train Loss,Train F1,Train Acc,Val Loss,Val F1,Val Acc,Val AUC
1,0.6268,0.7205,0.6650,0.5693,0.7609,0.7317,0.8124
2,0.5499,0.7903,0.7660,0.5260,0.8061,0.7865,0.8474
3,0.5162,0.8205,0.8014,0.5125,0.8048,0.7881,0.8653
4,0.4978,0.8368,0.8199,0.5012,0.8175,0.8018,0.8762
5,0.4878,0.8437,0.8277,0.4932,0.8254,0.8114,0.8835
6,0.4766,0.8508,0.8382,0.4939,0.8185,0.8106,0.8834
7,0.4674,0.8571,0.8449,0.4814,0.8371,0.8259,0.8941
8,0.4609,0.8671,0.8544,0.4807,0.8346,0.8276,0.8965
9,0.4557,0.8717,0.8601,0.4754,0.8382,0.8308,0.9008
10,0.4487,0.8765,0.8658,0.4723,0.8443,0.8324,0.9063
11,0.4428,0.8801,0.8710,0.4718,0.8464,0.8316,0.9092
12,0.4399,0.8838,0.8748,0.4663,0.8470,0.8372,0.9112
13,0.4340,0.8901,0.8817,0.4649,0.8466,0.8388,0.9121
14,0.4309,0.8929,0.8841,0.4734,0.8543,0.8356,0.9119
15,0.4280,0.8946,0.8862,0.4710,0.8477,0.8324,0.9120
16,0.4247,0.8966,0.8883,0.4607,0.8556,0.8461,0.9154
17,0.4201,0.9019,0.8941,0.4596,0.8588,0.8469,0.9192
18,0.4184,0.9031,0.8966,0.4584,0.8601,0.8469,0.9202
19,0.4181,0.9027,0.8947,0.4582,0.8629,0.8517,0.9193
20,0.4133,0.9079,0.9004,0.4588,0.8569,0.8477,0.9171
21,0.4105,0.9110,0.9042,0.4594,0.8494,0.8437,0.9178
22,0.4088,0.9130,0.9064,0.4532,0.8625,0.8509,0.9201
23,0.4101,0.9095,0.9033,0.4520,0.8695,0.8590,0.9214
24,0.4056,0.9147,0.9078,0.4531,0.8597,0.8509,0.9229
25,0.4072,0.9119,0.9054,0.4533,0.8612,0.8517,0.9219
26,0.4016,0.9188,0.9130,0.4504,0.8689,0.8566,0.9248
27,0.4007,0.9198,0.9133,0.4524,0.8644,0.8541,0.9237
28,0.3971,0.9223,0.9166,0.4542,0.8623,0.8517,0.9198
