Epoch,Train Loss,Train F1,Val Loss,Val F1,Val Accuracy
1,0.6207,0.7740,0.4908,0.8677,0.8590
2,0.4733,0.8859,0.4384,0.8949,0.8912
3,0.4357,0.9069,0.4211,0.9115,0.9049
4,0.4191,0.9191,0.4160,0.9105,0.9049
5,0.4091,0.9222,0.4090,0.9182,0.9114
6,0.3988,0.9327,0.4085,0.9193,0.9122
7,0.3930,0.9362,0.4075,0.9163,0.9098
8,0.3871,0.9406,0.4082,0.9105,0.9065
9,0.3809,0.9453,0.4021,0.9199,0.9162
10,0.3784,0.9471,0.4018,0.9213,0.9162
11,0.3707,0.9547,0.4019,0.9190,0.9154
12,0.3696,0.9542,0.3988,0.9227,0.9186
13,0.3638,0.9582,0.3958,0.9282,0.9234
14,0.3622,0.9597,0.3978,0.9233,0.9178
15,0.3587,0.9631,0.4041,0.9177,0.9106
16,0.3555,0.9648,0.3978,0.9165,0.9146
17,0.3517,0.9689,0.3969,0.9208,0.9154
18,0.3504,0.9700,0.3941,0.9230,0.9194
